Region Name,Region Type,Type,Current,Month Over Month,Quarter Over Quarter,Year Over Year,5 Year Annualized,10 Year Annualized,Current,Month Over Month,Quarter Over Quarter,Year Over Year,Current,Month Over Month,Quarter Over Quarter,Year Over Year,Current,Month Over Month,Quarter Over Quarter,Year Over Year,Current,Month Over Month,Quarter Over Quarter,Year Over Year,Current,Month Over Month,Quarter Over Quarter,Year Over Year,Current,Month Over Month,Quarter Over Quarter,Year Over Year,Current,Month Over Month,Quarter Over Quarter,Year Over Year,Current,Month Over Month,Quarter Over Quarter,Year Over Year,Current,Month Over Month,Quarter Over Quarter,Year Over Year,Current,Month Over Month,Quarter Over Quarter,Year Over Year,Current,Month Over Month,Quarter Over Quarter,Year Over Year,Current,Month Over Month,Quarter Over Quarter,Year Over Year,Current,Month Over Month,Quarter Over Quarter,Year Over Year,Current,Month Over Month,Quarter Over Quarter,Year Over Year,Current,Month Over Month,Quarter Over Quarter,Year Over Year,Current,Month Over Month,Quarter Over Quarter,Year Over Year
Brighton,neighborhood,All Homes,"$4,12,800",-1.30%,-3.50%,7.80%,12.90%,1.60%,7.20%,2.40%,6.70%,6.00%,---,---,---,---,---,---,---,---,$278,-0.70%,-1.80%,10.30%,---,---,---,---,---,---,---,---,89.70%,-3.40%,-9.10%,-8.20%,---,---,---,---,---,---,---,---,5.30%,1.20%,1.20%,-25.00%,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,"$2,213",0.20%,2.00%,9.60%,$1.45,0.60%,2.30%,8.30%
Broadmoor,neighborhood,All Homes,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,6.20%,-9.50%,-17.40%,-24.00%,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Broadview,neighborhood,All Homes,"$6,54,000",-1.00%,-1.40%,8.10%,10.10%,2.50%,14.70%,4.70%,13.50%,13.90%,---,---,---,---,---,---,---,---,$344,-1.10%,-3.10%,6.20%,---,---,---,---,---,---,---,---,78.00%,-7.40%,-19.20%,-20.70%,---,---,---,---,---,---,---,---,5.30%,-1.40%,-3.40%,-17.50%,$332,-7.60%,-3.10%,---,---,---,---,---,---,---,---,---,---,---,---,---,"$2,682",-0.70%,-1.10%,4.80%,$1.46,-0.70%,-1.00%,4.40%
Bryant,neighborhood,All Homes,"$7,43,100",0.80%,2.00%,9.60%,10.80%,3.60%,2.90%,1.40%,2.20%,2.70%,---,---,---,---,---,---,---,---,$455,0.90%,2.50%,10.20%,---,---,---,---,---,---,---,---,93.90%,-3.00%,-4.60%,-5.80%,---,---,---,---,---,---,---,---,4.70%,-2.20%,-2.20%,-13.70%,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,"$2,774",-0.50%,-1.00%,2.60%,$1.75,-0.30%,-0.70%,2.90%
Capitol Hill,neighborhood,All Homes,"$5,65,800",1.00%,5.40%,16.70%,11.50%,3.40%,7.50%,2.10%,6.10%,5.50%,---,---,---,---,4.30%,-0.70%,-0.30%,-0.70%,$559,0.00%,1.50%,9.60%,3.80%,-0.30%,-0.60%,-0.50%,"$5,14,700",-7.60%,-8.50%,20.00%,88.90%,-3.10%,-9.00%,-8.30%,---,---,---,---,---,---,---,---,6.40%,-2.00%,-9.00%,-15.20%,$553,3.00%,3.00%,7.90%,---,---,---,---,$2.48,9.70%,-0.60%,-1.60%,---,---,---,---,"$2,451",-0.10%,-0.40%,5.10%,$2.48,0.10%,0.20%,5.60%
Cedar Park,neighborhood,All Homes,"$5,43,800",-1.30%,-3.90%,7.30%,9.90%,2.40%,25.30%,4.70%,20.90%,21.50%,---,---,---,---,---,---,---,---,$329,-1.20%,-3.20%,5.40%,---,---,---,---,---,---,---,---,68.00%,-4.70%,-23.80%,-27.00%,---,---,---,---,---,---,---,---,5.60%,-2.20%,-8.40%,-17.90%,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,"$2,474",0.10%,0.40%,6.70%,$1.56,-0.50%,-0.80%,4.30%
Central,neighborhood,All Homes,"$6,65,900",0.10%,2.80%,12.50%,12.10%,3.80%,3.40%,1.00%,2.70%,3.10%,---,---,---,---,---,---,---,---,$474,0.20%,2.20%,11.50%,---,---,---,---,---,---,---,---,93.10%,-2.90%,-6.00%,-6.50%,---,---,---,---,---,---,---,---,5.30%,-2.00%,-22.20%,-44.90%,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,"$2,760",-0.40%,-0.80%,7.90%,$2.00,-0.40%,-1.00%,6.50%
Columbia City,neighborhood,All Homes,"$5,23,400",2.00%,6.60%,19.90%,13.40%,3.10%,2.00%,0.30%,1.30%,1.40%,---,---,---,---,---,---,---,---,$356,2.30%,7.20%,19.50%,---,---,---,---,---,---,---,---,97.00%,-0.90%,-1.90%,-2.10%,---,---,---,---,---,---,---,---,5.90%,5.00%,2.40%,-21.60%,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,"$2,396",-0.20%,0.50%,6.00%,$1.61,0.10%,0.90%,5.50%
Crown Hill,neighborhood,All Homes,"$5,48,300",-1.00%,-2.50%,12.70%,11.60%,3.20%,8.90%,2.60%,8.30%,5.90%,---,---,---,---,---,---,---,---,$384,-0.80%,-1.30%,11.60%,---,---,---,---,---,---,---,---,88.40%,-2.20%,-10.90%,-8.40%,---,---,---,---,---,---,---,---,6.00%,4.80%,0.00%,-17.50%,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,"$2,463",0.00%,0.00%,7.00%,$1.75,-0.30%,-0.30%,8.00%
Denny - Blaine,neighborhood,All Homes,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,5.00%,0.00%,-10.00%,-21.70%,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Denny Triangle,neighborhood,All Homes,"$5,65,500",0.40%,2.70%,9.40%,11.70%,2.60%,4.40%,1.20%,0.40%,2.20%,---,---,---,---,---,---,---,---,$674,1.70%,5.80%,13.90%,---,---,---,---,---,---,---,---,94.60%,-0.80%,-0.60%,-1.40%,---,---,---,---,---,---,---,---,6.60%,-4.60%,-15.10%,-75.10%,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,"$2,422",-0.10%,0.30%,4.10%,$2.89,0.80%,1.00%,5.80%
Downtown,neighborhood,All Homes,"$6,85,500",1.40%,6.30%,11.40%,9.80%,2.40%,6.30%,1.90%,2.60%,4.40%,---,---,---,---,8.60%,6.10%,4.10%,3.30%,$718,1.40%,5.40%,10.80%,---,---,---,---,---,---,---,---,90.40%,-3.80%,-4.20%,-6.80%,---,---,---,---,---,---,---,---,6.00%,-1.80%,-11.30%,-20.30%,$911,-2.00%,6.80%,20.40%,---,---,---,---,---,---,---,---,---,---,---,---,"$2,802",-0.40%,-0.50%,5.50%,$2.96,-0.10%,-0.80%,4.90%
Dunlap,neighborhood,All Homes,"$3,57,900",0.50%,0.90%,11.50%,10.50%,1.40%,24.40%,0.60%,23.80%,23.70%,---,---,---,---,---,---,---,---,$272,0.70%,0.70%,11.00%,---,---,---,---,---,---,---,---,70.60%,-2.70%,-28.20%,-28.40%,---,---,---,---,---,---,---,---,6.70%,3.00%,0.00%,15.70%,---,---,---,---,---,---,---,---,---,---,---,---,5.081,---,-10.10%,-7.80%,"$2,022",0.60%,2.10%,9.90%,$1.52,0.40%,1.70%,8.70%
East Queen Anne,neighborhood,All Homes,"$8,18,100",0.20%,0.60%,6.80%,10.60%,2.60%,7.00%,2.20%,5.00%,5.30%,---,---,---,---,---,---,---,---,$543,0.70%,2.80%,11.50%,---,---,---,---,---,---,---,---,88.90%,-3.70%,-8.00%,-8.50%,---,---,---,---,---,---,---,---,6.90%,2.30%,-5.80%,-10.10%,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,"$3,118",-1.10%,-1.80%,4.60%,$2.22,-0.50%,-0.70%,4.60%
Eastlake,neighborhood,All Homes,"$6,09,500",2.50%,11.00%,24.00%,12.60%,3.20%,5.60%,1.50%,3.90%,4.70%,---,---,---,---,---,---,---,---,$514,0.40%,2.20%,10.10%,---,---,---,---,---,---,---,---,91.30%,-1.50%,-6.10%,-7.60%,---,---,---,---,---,---,---,---,6.80%,-4.40%,-8.50%,-9.50%,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,"$2,495",0.00%,-0.20%,3.80%,$2.35,-0.30%,-0.20%,4.30%
Fairmount Park,neighborhood,All Homes,"$5,30,500",-0.60%,-1.70%,8.70%,10.90%,2.40%,5.90%,1.80%,5.50%,2.90%,---,---,---,---,---,---,---,---,$377,-0.30%,-0.80%,9.60%,---,---,---,---,---,---,---,---,90.30%,-2.20%,-9.00%,-5.50%,---,---,---,---,---,---,---,---,7.10%,-0.80%,7.10%,-5.50%,---,---,---,---,---,---,---,---,---,---,---,---,8.642,-3.70%,---,---,"$2,420",0.10%,0.20%,6.90%,$1.81,-0.10%,0.00%,6.50%
Fauntleroy,neighborhood,All Homes,"$6,51,000",-2.50%,-7.80%,-1.20%,8.50%,1.40%,33.90%,8.00%,33.20%,33.10%,---,---,---,---,---,---,---,---,$367,-2.40%,-5.90%,1.10%,---,---,---,---,---,---,---,---,54.30%,-10.70%,-44.20%,-44.30%,---,---,---,---,---,---,---,---,5.20%,-1.80%,-18.80%,-21.20%,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,"$2,733",-1.30%,-1.90%,10.70%,$1.55,-0.90%,-1.10%,8.20%
First Hill,neighborhood,All Homes,"$4,06,100",0.80%,3.80%,13.30%,12.80%,2.80%,3.60%,2.40%,2.70%,1.10%,---,---,---,---,---,---,---,---,$548,0.90%,3.60%,12.80%,---,---,---,---,---,---,---,---,93.40%,-3.00%,-4.90%,-3.50%,---,---,---,---,---,---,---,---,6.50%,-1.40%,-4.90%,-7.50%,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,"$1,921",-0.30%,-0.70%,2.30%,$2.71,0.10%,1.00%,5.20%
Fremont,neighborhood,All Homes,"$6,61,600",0.00%,0.80%,7.60%,11.60%,3.10%,7.90%,2.20%,7.00%,7.70%,---,---,---,---,---,---,---,---,$491,0.20%,1.00%,10.30%,---,---,---,---,---,---,---,---,86.80%,-4.10%,-12.10%,-12.90%,---,---,---,---,---,---,---,---,6.50%,0.00%,-3.30%,-15.00%,$481,-2.50%,1.30%,---,---,---,---,---,---,---,---,---,---,---,---,---,"$2,756",-0.20%,-0.10%,7.60%,$2.14,-0.30%,0.00%,6.20%
Garfield,neighborhood,All Homes,"$6,46,700",-1.30%,-1.30%,10.70%,12.20%,3.90%,3.40%,0.90%,2.30%,3.30%,---,---,---,---,---,---,---,---,$443,-0.90%,-0.90%,10.20%,---,---,---,---,---,---,---,---,92.60%,-3.90%,-5.90%,-7.00%,---,---,---,---,---,---,---,---,4.60%,15.40%,7.10%,-25.00%,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,"$2,630",0.50%,2.40%,7.30%,$1.83,0.10%,0.70%,6.80%
Gatewood,neighborhood,All Homes,"$5,78,300",-1.20%,-2.30%,8.50%,10.70%,2.20%,6.80%,1.40%,6.00%,6.40%,---,---,---,---,---,---,---,---,$388,-0.80%,-1.50%,8.70%,---,---,---,---,---,---,---,---,89.50%,-2.10%,-9.50%,-9.70%,---,---,---,---,---,---,---,---,6.20%,0.60%,-4.00%,-19.00%,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,"$2,504",0.00%,-0.20%,8.00%,$1.71,-0.20%,-0.20%,7.80%
Genesee,neighborhood,All Homes,"$6,34,000",0.40%,1.00%,13.40%,11.60%,3.10%,4.70%,1.10%,4.10%,3.80%,---,---,---,---,---,---,---,---,$400,0.80%,2.30%,14.60%,---,---,---,---,---,---,---,---,94.10%,0.10%,-4.60%,-4.20%,---,---,---,---,---,---,---,---,5.60%,-1.70%,5.40%,-13.20%,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,"$2,548",-0.40%,-0.60%,4.80%,$1.61,-0.50%,-0.50%,4.50%
Georgetown,neighborhood,All Homes,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,8.00%,-3.20%,-11.80%,3.40%,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Green Lake,neighborhood,All Homes,"$7,10,700",0.20%,0.50%,6.00%,10.50%,3.00%,7.50%,3.50%,6.70%,7.30%,---,---,---,---,---,---,---,---,$490,0.20%,0.40%,8.40%,---,---,---,---,---,---,---,---,86.40%,-5.60%,-12.40%,-13.20%,---,---,---,---,---,---,---,---,4.40%,1.70%,1.70%,-20.30%,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,"$2,857",-0.80%,-0.80%,5.00%,$1.96,-0.90%,-1.20%,5.10%
Greenwood,neighborhood,All Homes,"$5,60,000",-0.60%,-1.00%,12.00%,11.60%,3.30%,4.30%,1.20%,3.60%,3.50%,---,---,---,---,6.00%,-12.00%,-5.80%,1.70%,$421,-0.20%,-0.50%,10.20%,---,---,---,---,---,---,---,---,91.90%,-2.50%,-7.00%,-6.70%,---,---,---,---,---,---,---,---,5.60%,1.40%,-5.70%,-18.40%,$385,-3.20%,-4.30%,---,---,---,---,---,---,---,---,---,1.655,---,-0.60%,---,"$2,456",0.00%,0.30%,8.10%,$1.92,-0.40%,-0.50%,7.30%
Haller Lake,neighborhood,All Homes,"$4,79,200",-0.50%,-0.40%,12.00%,11.90%,2.80%,3.70%,0.80%,3.40%,3.40%,---,---,---,---,---,---,---,---,$323,-0.30%,-0.60%,11.80%,---,---,---,---,---,---,---,---,93.80%,-2.10%,-5.60%,-5.80%,---,---,---,---,---,---,---,---,5.90%,-4.10%,-5.80%,-25.60%,---,---,---,---,---,---,---,---,---,---,---,---,2.919,---,0.80%,-5.80%,"$2,284",-0.20%,0.00%,6.50%,$1.59,-0.10%,0.50%,6.80%
Hawthorne Hills,neighborhood,All Homes,"$9,24,100",-1.90%,-4.40%,5.60%,10.20%,2.50%,16.00%,2.40%,15.40%,15.60%,---,---,---,---,---,---,---,---,$444,-0.40%,-0.70%,8.30%,---,---,---,---,---,---,---,---,78.60%,-3.30%,-20.40%,-20.80%,---,---,---,---,---,---,---,---,4.20%,-16.70%,-21.10%,-23.10%,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,"$3,237",-0.60%,-0.10%,3.50%,$1.58,0.10%,1.30%,6.50%
High Point,neighborhood,All Homes,"$4,39,000",-0.50%,-0.30%,11.20%,12.90%,2.50%,6.10%,0.50%,5.50%,5.30%,---,---,---,---,5.60%,-2.80%,-6.00%,-6.10%,$307,0.00%,-0.30%,11.60%,---,---,---,---,"$4,99,900",2.00%,11.20%,25.00%,92.10%,-0.90%,-7.00%,-6.80%,---,---,---,---,9.80%,-6.20%,5.90%,---,9.60%,8.50%,7.20%,3.50%,$299,0.40%,3.40%,22.30%,---,---,---,---,---,---,---,---,8.027,2.00%,3.30%,---,"$2,353",0.30%,2.60%,10.90%,$1.66,0.40%,1.30%,8.30%
Highland Park,neighborhood,All Homes,"$3,94,100",1.10%,3.60%,15.70%,14.10%,2.30%,2.50%,0.40%,2.00%,2.40%,---,---,---,---,---,---,---,---,$300,0.30%,1.40%,14.10%,---,---,---,---,---,---,---,---,96.40%,-0.70%,-3.00%,-3.40%,---,---,---,---,---,---,---,---,5.60%,-0.90%,0.90%,-10.50%,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,"$2,119",0.10%,1.40%,12.70%,$1.63,0.20%,1.60%,11.60%
Hillman City,neighborhood,All Homes,"$4,68,400",1.00%,4.20%,18.90%,14.70%,2.90%,3.20%,0.10%,3.00%,2.70%,---,---,---,---,---,---,---,---,$328,0.90%,2.80%,19.30%,---,---,---,---,---,---,---,---,96.00%,-0.30%,-3.70%,-3.30%,---,---,---,---,---,---,---,---,5.70%,0.00%,3.80%,-5.30%,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,"$2,293",0.00%,1.20%,8.40%,$1.59,0.10%,0.90%,6.80%
Holly Park,neighborhood,All Homes,"$4,19,900",-0.30%,-0.20%,10.10%,11.30%,1.70%,3.10%,0.50%,2.30%,2.80%,---,---,---,---,---,---,---,---,$257,-0.40%,-2.30%,11.30%,---,---,---,---,---,---,---,---,95.50%,-1.20%,-3.70%,-3.30%,---,---,---,---,---,---,---,---,4.90%,-3.40%,-17.60%,-39.10%,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,"$2,312",0.20%,1.90%,9.10%,$1.42,0.40%,2.70%,10.80%
Interbay,neighborhood,All Homes,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,6.20%,-12.00%,-18.50%,-35.30%,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
International District,neighborhood,All Homes,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,8.60%,-8.70%,40.00%,75.00%,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Jackson Place,neighborhood,All Homes,"$5,13,400",1.30%,6.10%,23.70%,13.10%,2.80%,---,---,---,---,---,---,---,---,---,---,---,---,$402,1.00%,3.10%,15.20%,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,5.70%,-3.70%,0.00%,-23.50%,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,"$2,302",0.00%,0.40%,5.30%,$1.92,0.00%,0.70%,5.50%
Judkins Park,neighborhood,All Homes,"$5,21,800",0.60%,2.60%,16.00%,12.40%,2.90%,2.60%,0.30%,2.40%,0.40%,---,---,---,---,---,---,---,---,$397,0.80%,3.40%,17.10%,---,---,---,---,---,---,---,---,96.20%,-0.40%,-3.40%,-1.40%,---,---,---,---,---,---,---,---,7.30%,-3.80%,-5.00%,-41.10%,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,"$2,401",0.20%,1.00%,6.00%,$1.83,0.00%,0.30%,5.70%
Junction,neighborhood,All Homes,"$5,68,600",-1.10%,-3.60%,5.40%,10.00%,2.50%,9.50%,3.70%,8.80%,9.30%,---,---,---,---,---,---,---,---,$399,-1.00%,-2.20%,7.00%,---,---,---,---,---,---,---,---,84.40%,-4.90%,-14.50%,-15.00%,---,---,---,---,---,---,---,---,5.40%,-10.30%,-17.00%,-28.70%,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,"$2,490",-0.60%,-1.30%,3.80%,$1.79,-0.60%,-0.90%,4.90%
Lakewood,neighborhood,All Homes,"$6,64,800",1.50%,5.20%,18.30%,12.40%,3.00%,4.30%,1.10%,3.70%,3.50%,---,---,---,---,---,---,---,---,$391,1.00%,3.20%,15.00%,---,---,---,---,---,---,---,---,93.60%,-1.60%,-5.60%,-5.40%,---,---,---,---,---,---,---,---,4.10%,0.00%,-10.50%,-7.30%,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,"$2,548",-0.30%,-0.80%,4.30%,$1.57,-0.10%,-0.10%,4.10%
Laurelhurst,neighborhood,All Homes,"$13,87,700",0.70%,3.90%,8.80%,10.80%,2.80%,20.80%,6.50%,18.80%,19.70%,---,---,---,---,---,---,---,---,$524,-1.30%,-1.90%,4.00%,---,---,---,---,---,---,---,---,70.30%,-7.90%,-27.10%,-27.80%,---,---,---,---,---,---,---,---,3.60%,0.00%,-9.00%,-21.80%,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,"$4,873",-0.10%,-0.70%,2.70%,$1.93,-0.70%,-1.00%,1.60%
Leschi,neighborhood,All Homes,"$7,87,200",-0.50%,-1.10%,5.50%,10.20%,2.40%,10.10%,3.70%,8.20%,8.60%,---,---,---,---,---,---,---,---,$457,-0.20%,0.20%,9.30%,---,---,---,---,---,---,---,---,84.90%,-4.80%,-12.30%,-12.40%,---,---,---,---,---,---,---,---,4.90%,-1.00%,-3.90%,-43.40%,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,"$2,912",-0.70%,-1.70%,5.20%,$1.79,-0.60%,-0.60%,5.20%
Little Saigon,neighborhood,All Homes,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,6.60%,33.30%,33.30%,-20.00%,---,---,---,---,---,---,---,---,---,---,---,---,322.581,---,---,---,---,---,---,---,---,---,---,---
